00000000,.2
10000000,.2
01000000,.2
00100000,.2
00010000,.2
00001000,.2
00000100,.2
00000001,.2
10000000,.2
11000000,.2
11100000,.2
11110000,.2
11111000,.2
11111100,.2
11111110,.2
11111111,.2
01111111,.2
00111111,.2
00011111,.2
00001111,.2
00000111,.2
00000011,.2
00000001,.2
00000000,.2
11111111,2
00000000,2
11111111,2
00000000,.2
10000001,.2
01000010,.2
00100100,.2
00011000,.2
00100100,.2
01000010,.2
10000001,.2
11000011,.2
11100111,.2
11111111,.4
01111110,.2
00111100,.2
00011000,.2
00000000,.2
11111111,.2
01010101,.2
10101010,.2
01010101,.2
10101010,.2
01010101,.2
10101010,.2
11111111,.2
00100010,.2
00010001,.2
10001000,.2
01000100,.2
00100010,.2
00010001,.2
10001000,.2
01000100,.2

